area_type,availability,location
Super built-up Area,17-Dec,Kundalahalli
Super built-up Area,Ready To Move,Vijinapura
Super built-up Area,Ready To Move,Banaswadi
Super built-up Area,Ready To Move,Kodigehaali
Plot Area,Ready To Move,TC Palaya
Super built-up Area,Ready To Move,Jigani
Super built-up Area,Ready To Move,P&T Layout
Built-up Area,18-Aug,Electronic City Phase II
Built-up Area,Ready To Move,Electronic City
Plot Area,Ready To Move,Brookefield
Super built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Yelahanka New Town
Super built-up Area,Ready To Move,Hennur
Super built-up Area,Ready To Move,Byrasandra
Plot Area,18-Apr,SBM Colony
Super built-up Area,Ready To Move,Veerannapalya
Built-up Area,Ready To Move,Chowdeshwari Layout
Super built-up Area,Ready To Move,JP Nagar
Super built-up Area,Ready To Move,HSR Layout
Super built-up Area,21-May,Kanakpura Road
Built-up Area,Ready To Move,Whitefield
Plot Area,Ready To Move,Mathikere Extension
Super built-up Area,18-Feb,Horamavu Agara
Plot Area,Ready To Move,TC Palaya
Super built-up Area,Ready To Move,Akshaya Nagar
Built-up Area,Ready To Move,CV Raman Nagar
Super built-up Area,Ready To Move,EPIP Zone
Super built-up Area,Ready To Move,Sector 2 HSR Layout
Built-up Area,Ready To Move,Chikkalasandra
Super built-up Area,Ready To Move,Kanakpura Road
Super built-up Area,Ready To Move,Koramangala
Built-up Area,Ready To Move,Sarjapur
Super built-up Area,Ready To Move,Electronic City
Built-up Area,Ready To Move,Jalahalli
Plot Area,Ready To Move,Anantapura
Super built-up Area,Ready To Move,Domlur
Super built-up Area,17-Nov,Babusapalaya
Super built-up Area,18-May,Bommasandra
Super built-up Area,Ready To Move,Kengeri
Plot Area,Ready To Move,2nd Stage Nagarbhavi
Plot Area,Ready To Move,Sarjapur
Super built-up Area,Ready To Move,Nagarbhavi
Super built-up Area,Ready To Move,Haralur Road
Super built-up Area,19-Dec,Hoodi
Plot Area,Ready To Move,Shivaji Nagar
Super built-up Area,Ready To Move,Kaikondrahalli
Plot Area,Ready To Move,Hebbal Kempapura
Super built-up Area,18-Dec,Old Airport Road
Super built-up Area,Ready To Move,Subramanyapura
Plot Area,Ready To Move,Hosa Road
Super built-up Area,Ready To Move,Chamrajpet
Plot Area,17-Dec,Banashankari
Super built-up Area,Ready To Move,OMBR Layout
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Padmanabhanagar
Carpet Area,Ready To Move,Kanakpura Road
Super built-up Area,Ready To Move,Old Madras Road
Built-up Area,Ready To Move,JP Nagar
Super built-up Area,19-Jun,Hebbal
Super built-up Area,20-Jan,Badavala Nagar
Super built-up Area,18-Oct,Hennur Road
Super built-up Area,Ready To Move,Rustam Bagh Layout
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,Ready To Move,Hulimavu
Built-up Area,Ready To Move,NRI Layout
Super built-up Area,Ready To Move,4th Block Koramangala
Super built-up Area,Ready To Move,Hulimavu
Super built-up Area,Ready To Move,Banaswadi
Built-up Area,Ready To Move,Hormavu
Super built-up Area,Ready To Move,Belatur
Super built-up Area,19-Jun,Yelahanka
Built-up Area,Ready To Move,Arekere
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,18-Dec,Lalbagh Road
Built-up Area,Ready To Move,Frazer Town
Super built-up Area,18-Apr,Basavangudi
Plot Area,Ready To Move,Kamakya Layout
Super built-up Area,20-Dec,Domlur
Plot Area,Ready To Move,Vignana Nagar
Super built-up Area,Ready To Move,Kogilu
Super built-up Area,Ready To Move,Nallurhalli
Plot Area,Ready To Move,Kamakshipalya
Super built-up Area,18-Aug,Chinnapanahalli
Built-up Area,Ready To Move,Kereguddadahalli
Super built-up Area,Ready To Move,Jalahalli East
Built-up Area,Ready To Move,TC Palaya
Plot Area,Ready To Move,Lingarajapuram
Super built-up Area,Ready To Move,Anekal
Built-up Area,Ready To Move,Yelachenahalli
Built-up Area,Ready To Move,3rd Block HBR Layout
Built-up Area,Ready To Move,Frazer Town
Plot Area,Ready To Move,Kasavanhalli
Super built-up Area,Ready To Move,Laxmi Sagar Layout
Plot Area,Ready To Move,Yeshwanthpur
Plot Area,Ready To Move,Gottigere
Plot Area,Ready To Move,TC Palaya
Built-up Area,Ready To Move,Bommenahalli
Super built-up Area,Ready To Move,OMBR Layout
Built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,18-Jul,Bannerghatta
Super built-up Area,Ready To Move,Marathahalli
Super built-up Area,Ready To Move,Sector 2 HSR Layout
Super built-up Area,Ready To Move,Bannerghatta Road
Plot Area,Ready To Move,Sahakara Nagar
Super built-up Area,Ready To Move,Hosur Road
Built-up Area,Ready To Move,New Gurappana Palya
Super built-up Area,Ready To Move,Dodda Nekkundi Extension
Super built-up Area,18-May,Old Airport Road
Super built-up Area,Ready To Move,Harlur
Super built-up Area,19-Dec,Old Madras Road
Super built-up Area,Ready To Move,Frazer Town
Super built-up Area,18-Jun,Kengeri Satellite Town
Plot Area,Ready To Move,Nelamangala
Super built-up Area,18-Nov,Kengeri
Super built-up Area,Ready To Move,Hosur Road
Super built-up Area,Ready To Move,Begur Road
Built-up Area,Ready To Move,Nagavarapalya
Super built-up Area,Ready To Move,Hormavu
Super built-up Area,Ready To Move,Uttarahalli
Super built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,Ready To Move,Vittasandra
Plot Area,Ready To Move,Whitefield
Plot Area,Ready To Move,Hormavu
Super built-up Area,Ready To Move,2nd Block Hrbr Layout
Super built-up Area,Ready To Move,Sarjapur
Built-up Area,Ready To Move,Domlur
Super built-up Area,18-Jul,Electronic City Phase II
Super built-up Area,Ready To Move,Marathahalli
Super built-up Area,Ready To Move,Electronic City
Plot Area,Ready To Move,Hongasandra
Plot Area,Ready To Move,Harappanahalli
Built-up Area,Ready To Move,Basapura
Built-up Area,Ready To Move,Roopena Agrahara
Super built-up Area,Ready To Move,Doddakallasandra
Super built-up Area,Ready To Move,BTM Layout
Built-up Area,19-Mar,Hennur Road
Super built-up Area,18-Oct,Chennammana Kere
Super built-up Area,Ready To Move,Jigani
Super built-up Area,18-Jun,Bommasandra Industrial Area
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,Uttarahalli
Plot Area,Ready To Move,Hegde Nagar
Built-up Area,Ready To Move,Subramanyapura
Super built-up Area,Ready To Move,Kanaka Nagar
Super built-up Area,Ready To Move,Sarjapur Road
Built-up Area,Ready To Move,Tasker Town
Super built-up Area,Ready To Move,Govindpura
Plot Area,17-Jul,Hormavu
Built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Rajaji Nagar
Built-up Area,19-Mar,NR Colony
Super built-up Area,Ready To Move,Kanakpura Road
Super built-up Area,Ready To Move,Agara Village
Super built-up Area,Ready To Move,Begur Road
Super built-up Area,Ready To Move,Shettigere
Plot Area,Ready To Move,Chikkasandra
Super built-up Area,Ready To Move,Kaggadasapura
Plot Area,Ready To Move,Kothannur
Super built-up Area,18-Mar,Kenchanehalli R R Nagar
Built-up Area,Ready To Move,6th Phase JP Nagar
Super built-up Area,18-Apr,Kumara Park
Super built-up Area,Ready To Move,Tumkur Road
Plot Area,Ready To Move,BEL Road
Built-up Area,Ready To Move,Arekere
Plot Area,Ready To Move,Varthur
Super built-up Area,18-May,Koramangala
Built-up Area,Ready To Move,Kanakpura Road
Super built-up Area,Ready To Move,GM Palaya
Super built-up Area,Ready To Move,Byagadadhenahalli
Super built-up Area,Ready To Move,Vittasandra
Super built-up Area,Ready To Move,Ashwathnagar
Plot Area,Ready To Move,KR Puram
Super built-up Area,18-Apr,Kudlu Gate
Built-up Area,Ready To Move,Srinivasa Nagar
Super built-up Area,Ready To Move,Gubbalala
Super built-up Area,Ready To Move,Kogilu
Super built-up Area,Ready To Move,Kanakapura
Super built-up Area,18-Dec,Banashankari Stage III
Super built-up Area,Ready To Move,Doddabommasandra
Super built-up Area,Ready To Move,5th Phase JP Nagar
Super built-up Area,Ready To Move,Sarjapura - Attibele Road
Super built-up Area,Ready To Move,Maruthi Layout
Super built-up Area,Ready To Move,Hulimavu
Super built-up Area,Ready To Move,Sree Narayana Nagar
Super built-up Area,19-Jul,Kanakpura Road
Super built-up Area,Ready To Move,Malleshwaram
Super built-up Area,Ready To Move,Hoodi
Super built-up Area,Ready To Move,Talaghattapura
Super built-up Area,18-Jul,Bhoganhalli
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,Ready To Move,5th Block Hbr Layout
Built-up Area,Ready To Move,Hebbal
Plot Area,18-Dec,Sarjapur Road
Super built-up Area,18-Dec,Tunganagara
Super built-up Area,Ready To Move,Nagavara
Super built-up Area,Ready To Move,Sahakara Nagar
Plot Area,Ready To Move,BTM 2nd Stage
Plot Area,Ready To Move,Hongasandra
Plot Area,Ready To Move,Jalahalli East
Super built-up Area,Ready To Move,Sarjapur Road
Built-up Area,Ready To Move,Remco Bhel Layout
Super built-up Area,Ready To Move,CV Raman Nagar
Plot Area,Ready To Move,Chamrajpet
Plot Area,Ready To Move,Magadi Road
Super built-up Area,Ready To Move,Banashankari
Super built-up Area,Ready To Move,Yelachenahalli
Built-up Area,Ready To Move,Uttarahalli
Super built-up Area,Ready To Move,Hennur Road
Built-up Area,Ready To Move,Jalahalli
Super built-up Area,Ready To Move,Lakshminarayana Pura
Super built-up Area,18-May,Electronic City Phase II
Built-up Area,Ready To Move,Sonnenahalli
Super built-up Area,20-Jun,Vijayanagar
Plot Area,Ready To Move,Basaveshwara Nagar
Built-up Area,Ready To Move,Chokkasandra
Super built-up Area,19-Oct,Anekal
Super built-up Area,18-Jul,2nd Block Hrbr Layout
Super built-up Area,19-Dec,Kanakapura
Super built-up Area,17-Oct,Bellandur
Super built-up Area,18-Jun,Ananth Nagar
Built-up Area,Ready To Move,Panduranga Nagar
Built-up Area,Ready To Move,Sri Venkateshpura Layout
Super built-up Area,Ready To Move,Malleshwaram
Super built-up Area,Ready To Move,Haralur Road
Plot Area,Ready To Move,Seegehalli
Super built-up Area,Ready To Move,Abbigere
Super built-up Area,Ready To Move,Lingadheeranahalli
Super built-up Area,Ready To Move,Gottigere
Super built-up Area,Ready To Move,Byadarahalli
Super built-up Area,Ready To Move,Hebbal Kempapura
Super built-up Area,Ready To Move,Jakkur Plantation
Super built-up Area,Ready To Move,Kasavanhalli
Built-up Area,Ready To Move,Amruthahalli
Super built-up Area,Ready To Move,Kaverappa Layout
Super built-up Area,Ready To Move,Bommasandra
Built-up Area,Ready To Move,Kaverappa Layout
Super built-up Area,Ready To Move,Electronic City
Built-up Area,Ready To Move,Mahadevpura
Super built-up Area,Ready To Move,5th Block Hbr Layout
Plot Area,Ready To Move,Yeshwanthpur
Super built-up Area,Ready To Move,Doddanekundi
Super built-up Area,Ready To Move,Bellandur
Built-up Area,Ready To Move,Banaswadi
Super built-up Area,Ready To Move,Mysore Road
Super built-up Area,Ready To Move,Yeshwanthpur
Super built-up Area,Ready To Move,Kammasandra
Super built-up Area,Ready To Move,Haralur Road
Super built-up Area,Ready To Move,Thigalarapalya
Super built-up Area,18-Jul,Ramagondanahalli
Built-up Area,Ready To Move,Sir M V Nagar
Super built-up Area,19-Jul,Kanakpura Road
Plot Area,Ready To Move,Bikasipura
Super built-up Area,Ready To Move,Budigere
Super built-up Area,18-Aug,CV Raman Nagar
Super built-up Area,Ready To Move,Basaveshwara Nagar Yelahanka
Super built-up Area,19-Dec,Binny Pete
Plot Area,Ready To Move,Sidedahalli
Built-up Area,Ready To Move,Marathahalli
Super built-up Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,Ramamurthy Nagar
Super built-up Area,Ready To Move,Electronics City Phase 1
Built-up Area,Ready To Move,Green Glen Layout
Super built-up Area,Ready To Move,Akshaya Nagar
Super built-up Area,Ready To Move,Horamavu Banaswadi
Built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,Ready To Move,Hennur Road
Super built-up Area,Ready To Move,Kaggalipura
Built-up Area,18-Dec,Electronic City
Super built-up Area,Ready To Move,Haralur Road
Super built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,Ready To Move,R.T. Nagar
Super built-up Area,17-Aug,Kalkere
Super built-up Area,Ready To Move,Kanakpura Road
Built-up Area,Ready To Move,1st Block Koramangala
Super built-up Area,Ready To Move,Shree Ananth Nagar Layout
Super built-up Area,Ready To Move,Yeshwanthpur
Super built-up Area,Ready To Move,Hoskote
Super built-up Area,21-Sep,9th Phase JP Nagar
Super built-up Area,Ready To Move,2nd Phase Judicial Layout
Super built-up Area,20-Dec,Jakkur
Plot Area,Ready To Move,Magadi Road
Super built-up Area,Ready To Move,Panathur
Super built-up Area,Ready To Move,Ambedkar Nagar
Built-up Area,Ready To Move,Bellandur
Super built-up Area,Ready To Move,Indira Nagar
Plot Area,Ready To Move,HBR Layout
Super built-up Area,Ready To Move,Brookefield
Built-up Area,Ready To Move,Attiguppe
Super built-up Area,18-Aug,Magadi Road
Plot Area,Ready To Move,Srirampuram
Built-up Area,Ready To Move,Yemlur
Super built-up Area,Ready To Move,Race Course Road
Built-up Area,Ready To Move,Sarjapur
Built-up Area,Ready To Move,Ambalipura
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,Marathahalli
Plot Area,Ready To Move,Gkvk Layout
Built-up Area,Ready To Move,Thubarahalli
Super built-up Area,Ready To Move,Bannerghatta Road
Plot Area,Ready To Move,Bank Of Baroda Colony
Super built-up Area,21-Dec,Kanakpura Road
Super built-up Area,19-Jul,Kanakpura Road
Super built-up Area,Ready To Move,Sector 1 HSR Layout
Built-up Area,Ready To Move,Ramamurthy Nagar
Plot Area,Ready To Move,Chikkabanavar
Carpet Area,Ready To Move,BTM 2nd Stage
Super built-up Area,Ready To Move,Yeshwanthpur
Super built-up Area,18-Jan,Electronic City
Super built-up Area,Ready To Move,Electronic City Phase II
Super built-up Area,19-Dec,Whitefield
Super built-up Area,18-Dec,Ananth Nagar
Super built-up Area,Ready To Move,Koramangala
Super built-up Area,18-Apr,Whitefield
Plot Area,Ready To Move,Laggere
Super built-up Area,18-Jul,Hosa Road
Super built-up Area,Ready To Move,Basavangudi
Super built-up Area,18-Apr,Electronic City Phase II
Plot Area,Ready To Move,Bank Of Baroda Colony
Super built-up Area,18-Jun,9th Phase JP Nagar
Super built-up Area,Ready To Move,Hulimavu
Super built-up Area,Ready To Move,Banaswadi
Plot Area,Ready To Move,Brookefield
Plot Area,Ready To Move,Ramamurthy Nagar
Built-up Area,Ready To Move,St. John's Road
Super built-up Area,Ready To Move,1st Phase JP Nagar
Built-up Area,18-Aug,Bommasandra Industrial Area
Plot Area,Ready To Move,Kothanur
Super built-up Area,Ready To Move,Uttarahalli
Super built-up Area,Ready To Move,Kaikondrahalli
Super built-up Area,18-Dec,Electronic City
Super built-up Area,Ready To Move,Kothannur
Super built-up Area,Ready To Move,Marathahalli
Super built-up Area,18-Aug,Doopanahalli
Plot Area,Ready To Move,Old Madras Road
Super built-up Area,22-Jun,Hoodi
Plot Area,Ready To Move,Haralur Road
Super built-up Area,Ready To Move,Kudlu Gate
Super built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,Ready To Move,Doddaballapur
Built-up Area,Ready To Move,Sathanur
Super built-up Area,Ready To Move,Kanakpura Road
Plot Area,Ready To Move,Margondanahalli
Super built-up Area,Ready To Move,Varthur
Super built-up Area,Ready To Move,Marathahalli
Super built-up Area,Ready To Move,Electronic City Phase II
Super built-up Area,Ready To Move,Subramanyapura
Super built-up Area,20-Dec,Kanakpura Road
Super built-up Area,Ready To Move,Kanakpura Road
Super built-up Area,19-Mar,Hosa Road
Super built-up Area,Ready To Move,Kengeri Satellite Town
Plot Area,Ready To Move,Kumaraswami Layout
Built-up Area,Ready To Move,Banashankari Stage VI
Built-up Area,Ready To Move,ITI Layout
Plot Area,Ready To Move,Ramamohanapuram
Super built-up Area,Ready To Move,Malleshwaram
Super built-up Area,Ready To Move,Lakshminarayana Pura
Plot Area,Ready To Move,TC Palaya
Super built-up Area,Ready To Move,Prithvi Layout
Super built-up Area,Ready To Move,Harlur
Built-up Area,Ready To Move,Tejaswini Nagar
Super built-up Area,18-Jul,Bannerghatta
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Channasandra
Built-up Area,Ready To Move,9th Phase JP Nagar
Plot Area,Ready To Move,Whitefield
Built-up Area,Ready To Move,Kammanahalli
Super built-up Area,Ready To Move,Jakkur
Super built-up Area,Ready To Move,Horamavu Agara
Super built-up Area,19-Dec,Bannerghatta Road
Super built-up Area,Ready To Move,HSR Layout
Super built-up Area,Ready To Move,1st Block Jayanagar
Super built-up Area,Ready To Move,Kamakshipalya
Super built-up Area,Ready To Move,kanakapura road
Super built-up Area,18-Jun,Ramagondanahalli
Super built-up Area,Ready To Move,Kaveri Nagar
Built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,Ready To Move,Poorna Pragna Layout
Super built-up Area,18-Dec,Bannerghatta Road
Super built-up Area,Ready To Move,Sundar Ram Shetty Nagar
Plot Area,Ready To Move,Attibele
Built-up Area,Ready To Move,Gottigere
Super built-up Area,Ready To Move,Yelahanka
Plot Area,Ready To Move,Sector 6 HSR Layout
Plot Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,Ready To Move,Whitefield
Built-up Area,Ready To Move,Nelamangala
